issue_key,issue_type,summary,epic_name,user_story,acceptance_criteria,priority,status,labels,business_area,metric_name,metric_value,severity,human_review_required
OPSPILOT-1,Story,Product Stockout Risk: Grocery - 31.93%,Improve Grocery Inventory Availability,"As a supply chain operations manager, I want to identify Grocery products with high stockout risk so that I can improve replenishment planning and reduce missed sales opportunities.","Stockout rate must be calculated by product category. | Categories above 20% stockout rate must be flagged as high severity. | The output must include metric value, severity, and recommended analyst action. | High-risk categories must require human review before business action.",High,To Do,"inventory,stockout,supply-chain,ai-generated",Grocery,Stockout Rate %,31.93,High,True
OPSPILOT-2,Story,Product Stockout Risk: Electronics - 31.76%,Improve Electronics Inventory Availability,"As a supply chain operations manager, I want to identify Electronics products with high stockout risk so that I can improve replenishment planning and reduce missed sales opportunities.","Stockout rate must be calculated by product category. | Categories above 20% stockout rate must be flagged as high severity. | The output must include metric value, severity, and recommended analyst action. | High-risk categories must require human review before business action.",High,To Do,"inventory,stockout,supply-chain,ai-generated",Electronics,Stockout Rate %,31.76,High,True
OPSPILOT-3,Story,Product Stockout Risk: Health & Personal Care - 31.71%,Improve Health & Personal Care Inventory Availability,"As a supply chain operations manager, I want to identify Health & Personal Care products with high stockout risk so that I can improve replenishment planning and reduce missed sales opportunities.","Stockout rate must be calculated by product category. | Categories above 20% stockout rate must be flagged as high severity. | The output must include metric value, severity, and recommended analyst action. | High-risk categories must require human review before business action.",High,To Do,"inventory,stockout,supply-chain,ai-generated",Health & Personal Care,Stockout Rate %,31.71,High,True
OPSPILOT-4,Story,Product Stockout Risk: Office Supplies - 31.69%,Improve Office Supplies Inventory Availability,"As a supply chain operations manager, I want to identify Office Supplies products with high stockout risk so that I can improve replenishment planning and reduce missed sales opportunities.","Stockout rate must be calculated by product category. | Categories above 20% stockout rate must be flagged as high severity. | The output must include metric value, severity, and recommended analyst action. | High-risk categories must require human review before business action.",High,To Do,"inventory,stockout,supply-chain,ai-generated",Office Supplies,Stockout Rate %,31.69,High,True
OPSPILOT-5,Story,Product Stockout Risk: Apparel - 31.53%,Improve Apparel Inventory Availability,"As a supply chain operations manager, I want to identify Apparel products with high stockout risk so that I can improve replenishment planning and reduce missed sales opportunities.","Stockout rate must be calculated by product category. | Categories above 20% stockout rate must be flagged as high severity. | The output must include metric value, severity, and recommended analyst action. | High-risk categories must require human review before business action.",High,To Do,"inventory,stockout,supply-chain,ai-generated",Apparel,Stockout Rate %,31.53,High,True
OPSPILOT-6,Story,Product Stockout Risk: Home Goods - 31.19%,Improve Home Goods Inventory Availability,"As a supply chain operations manager, I want to identify Home Goods products with high stockout risk so that I can improve replenishment planning and reduce missed sales opportunities.","Stockout rate must be calculated by product category. | Categories above 20% stockout rate must be flagged as high severity. | The output must include metric value, severity, and recommended analyst action. | High-risk categories must require human review before business action.",High,To Do,"inventory,stockout,supply-chain,ai-generated",Home Goods,Stockout Rate %,31.19,High,True
OPSPILOT-7,Story,Warehouse Delay Risk: Los Angeles Fulfillment Center - 17.13%,Reduce Late Shipments at Los Angeles Fulfillment Center,"As a warehouse operations manager, I want to monitor late shipment performance at Los Angeles Fulfillment Center so that I can identify fulfillment bottlenecks and improve delivery reliability.","Late shipment rate must be calculated by warehouse. | Warehouses above 10% late shipment rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Warehouse delay recommendations must require human review before business action.",Medium,To Do,"warehouse,late-shipments,operations,ai-generated",Los Angeles Fulfillment Center,Late Shipment Rate %,17.13,Medium,True
OPSPILOT-8,Story,Warehouse Delay Risk: Columbus Distribution Hub - 16.64%,Reduce Late Shipments at Columbus Distribution Hub,"As a warehouse operations manager, I want to monitor late shipment performance at Columbus Distribution Hub so that I can identify fulfillment bottlenecks and improve delivery reliability.","Late shipment rate must be calculated by warehouse. | Warehouses above 10% late shipment rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Warehouse delay recommendations must require human review before business action.",Medium,To Do,"warehouse,late-shipments,operations,ai-generated",Columbus Distribution Hub,Late Shipment Rate %,16.64,Medium,True
OPSPILOT-9,Story,Supplier Delay Risk: Supplier 17 - 15.6%,Improve Delivery Reliability for Supplier 17,"As a supplier performance manager, I want to track delay performance for Supplier 17 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.",Medium,To Do,"supplier-risk,delivery-delay,procurement,ai-generated",Supplier 17,Supplier Delay Rate %,15.6,Medium,True
OPSPILOT-10,Story,Warehouse Delay Risk: Dallas Distribution Hub - 15.32%,Reduce Late Shipments at Dallas Distribution Hub,"As a warehouse operations manager, I want to monitor late shipment performance at Dallas Distribution Hub so that I can identify fulfillment bottlenecks and improve delivery reliability.","Late shipment rate must be calculated by warehouse. | Warehouses above 10% late shipment rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Warehouse delay recommendations must require human review before business action.",Medium,To Do,"warehouse,late-shipments,operations,ai-generated",Dallas Distribution Hub,Late Shipment Rate %,15.32,Medium,True
OPSPILOT-11,Story,Supplier Delay Risk: Supplier 2 - 15.02%,Improve Delivery Reliability for Supplier 2,"As a supplier performance manager, I want to track delay performance for Supplier 2 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.",Medium,To Do,"supplier-risk,delivery-delay,procurement,ai-generated",Supplier 2,Supplier Delay Rate %,15.02,Medium,True
OPSPILOT-12,Story,Warehouse Delay Risk: Seattle Distribution Hub - 14.98%,Reduce Late Shipments at Seattle Distribution Hub,"As a warehouse operations manager, I want to monitor late shipment performance at Seattle Distribution Hub so that I can identify fulfillment bottlenecks and improve delivery reliability.","Late shipment rate must be calculated by warehouse. | Warehouses above 10% late shipment rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Warehouse delay recommendations must require human review before business action.",Medium,To Do,"warehouse,late-shipments,operations,ai-generated",Seattle Distribution Hub,Late Shipment Rate %,14.98,Medium,True
OPSPILOT-13,Story,Supplier Delay Risk: Supplier 9 - 14.75%,Improve Delivery Reliability for Supplier 9,"As a supplier performance manager, I want to track delay performance for Supplier 9 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.",Medium,To Do,"supplier-risk,delivery-delay,procurement,ai-generated",Supplier 9,Supplier Delay Rate %,14.75,Medium,True
OPSPILOT-14,Story,Supplier Delay Risk: Supplier 20 - 14.31%,Improve Delivery Reliability for Supplier 20,"As a supplier performance manager, I want to track delay performance for Supplier 20 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.",Medium,To Do,"supplier-risk,delivery-delay,procurement,ai-generated",Supplier 20,Supplier Delay Rate %,14.31,Medium,True
OPSPILOT-15,Story,Supplier Delay Risk: Supplier 14 - 14.17%,Improve Delivery Reliability for Supplier 14,"As a supplier performance manager, I want to track delay performance for Supplier 14 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.",Medium,To Do,"supplier-risk,delivery-delay,procurement,ai-generated",Supplier 14,Supplier Delay Rate %,14.17,Medium,True
OPSPILOT-16,Story,Supplier Delay Risk: Supplier 11 - 14.07%,Improve Delivery Reliability for Supplier 11,"As a supplier performance manager, I want to track delay performance for Supplier 11 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.",Medium,To Do,"supplier-risk,delivery-delay,procurement,ai-generated",Supplier 11,Supplier Delay Rate %,14.07,Medium,True
OPSPILOT-17,Story,Supplier Delay Risk: Supplier 5 - 14.02%,Improve Delivery Reliability for Supplier 5,"As a supplier performance manager, I want to track delay performance for Supplier 5 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.",Medium,To Do,"supplier-risk,delivery-delay,procurement,ai-generated",Supplier 5,Supplier Delay Rate %,14.02,Medium,True
OPSPILOT-18,Story,Supplier Delay Risk: Supplier 25 - 13.84%,Improve Delivery Reliability for Supplier 25,"As a supplier performance manager, I want to track delay performance for Supplier 25 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.",Medium,To Do,"supplier-risk,delivery-delay,procurement,ai-generated",Supplier 25,Supplier Delay Rate %,13.84,Medium,True
OPSPILOT-19,Story,Warehouse Delay Risk: Denver Operations Center - 13.53%,Reduce Late Shipments at Denver Operations Center,"As a warehouse operations manager, I want to monitor late shipment performance at Denver Operations Center so that I can identify fulfillment bottlenecks and improve delivery reliability.","Late shipment rate must be calculated by warehouse. | Warehouses above 10% late shipment rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Warehouse delay recommendations must require human review before business action.",Medium,To Do,"warehouse,late-shipments,operations,ai-generated",Denver Operations Center,Late Shipment Rate %,13.53,Medium,True
OPSPILOT-20,Story,Supplier Delay Risk: Supplier 8 - 13.47%,Improve Delivery Reliability for Supplier 8,"As a supplier performance manager, I want to track delay performance for Supplier 8 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.",Medium,To Do,"supplier-risk,delivery-delay,procurement,ai-generated",Supplier 8,Supplier Delay Rate %,13.47,Medium,True
