"issue_type","business_area","metric_name","metric_value","severity","severity_rank","recommended_analysis_action"
"Product Stockout Risk","Grocery","Stockout Rate %",31.93,"High",1,"Review reorder points, demand planning, and inventory replenishment logic."
"Product Stockout Risk","Electronics","Stockout Rate %",31.76,"High",1,"Review reorder points, demand planning, and inventory replenishment logic."
"Product Stockout Risk","Health & Personal Care","Stockout Rate %",31.71,"High",1,"Review reorder points, demand planning, and inventory replenishment logic."
"Product Stockout Risk","Office Supplies","Stockout Rate %",31.69,"High",1,"Review reorder points, demand planning, and inventory replenishment logic."
"Product Stockout Risk","Apparel","Stockout Rate %",31.53,"High",1,"Review reorder points, demand planning, and inventory replenishment logic."
"Product Stockout Risk","Home Goods","Stockout Rate %",31.19,"High",1,"Review reorder points, demand planning, and inventory replenishment logic."
"Warehouse Delay Risk","Los Angeles Fulfillment Center","Late Shipment Rate %",17.13,"Medium",2,"Review warehouse operations, labor capacity, and fulfillment bottlenecks."
"Warehouse Delay Risk","Columbus Distribution Hub","Late Shipment Rate %",16.64,"Medium",2,"Review warehouse operations, labor capacity, and fulfillment bottlenecks."
"Supplier Delay Risk","Supplier 17","Supplier Delay Rate %",15.60,"Medium",2,"Review supplier lead times, supplier risk scores, and backup supplier options."
"Warehouse Delay Risk","Dallas Distribution Hub","Late Shipment Rate %",15.32,"Medium",2,"Review warehouse operations, labor capacity, and fulfillment bottlenecks."
"Supplier Delay Risk","Supplier 2","Supplier Delay Rate %",15.02,"Medium",2,"Review supplier lead times, supplier risk scores, and backup supplier options."
"Warehouse Delay Risk","Seattle Distribution Hub","Late Shipment Rate %",14.98,"Medium",2,"Review warehouse operations, labor capacity, and fulfillment bottlenecks."
"Supplier Delay Risk","Supplier 9","Supplier Delay Rate %",14.75,"Medium",2,"Review supplier lead times, supplier risk scores, and backup supplier options."
"Supplier Delay Risk","Supplier 20","Supplier Delay Rate %",14.31,"Medium",2,"Review supplier lead times, supplier risk scores, and backup supplier options."
"Supplier Delay Risk","Supplier 14","Supplier Delay Rate %",14.17,"Medium",2,"Review supplier lead times, supplier risk scores, and backup supplier options."
"Supplier Delay Risk","Supplier 11","Supplier Delay Rate %",14.07,"Medium",2,"Review supplier lead times, supplier risk scores, and backup supplier options."
"Supplier Delay Risk","Supplier 5","Supplier Delay Rate %",14.02,"Medium",2,"Review supplier lead times, supplier risk scores, and backup supplier options."
"Supplier Delay Risk","Supplier 25","Supplier Delay Rate %",13.84,"Medium",2,"Review supplier lead times, supplier risk scores, and backup supplier options."
"Warehouse Delay Risk","Denver Operations Center","Late Shipment Rate %",13.53,"Medium",2,"Review warehouse operations, labor capacity, and fulfillment bottlenecks."
"Supplier Delay Risk","Supplier 8","Supplier Delay Rate %",13.47,"Medium",2,"Review supplier lead times, supplier risk scores, and backup supplier options."
"Supplier Delay Risk","Supplier 23","Supplier Delay Rate %",13.31,"Medium",2,"Review supplier lead times, supplier risk scores, and backup supplier options."
"Supplier Delay Risk","Supplier 3","Supplier Delay Rate %",13.22,"Medium",2,"Review supplier lead times, supplier risk scores, and backup supplier options."
"Supplier Delay Risk","Supplier 18","Supplier Delay Rate %",13.18,"Medium",2,"Review supplier lead times, supplier risk scores, and backup supplier options."
"Supplier Delay Risk","Supplier 1","Supplier Delay Rate %",13.17,"Medium",2,"Review supplier lead times, supplier risk scores, and backup supplier options."
"Supplier Delay Risk","Supplier 13","Supplier Delay Rate %",13.15,"Medium",2,"Review supplier lead times, supplier risk scores, and backup supplier options."
"Supplier Delay Risk","Supplier 12","Supplier Delay Rate %",12.92,"Medium",2,"Review supplier lead times, supplier risk scores, and backup supplier options."
"Supplier Delay Risk","Supplier 19","Supplier Delay Rate %",12.72,"Medium",2,"Review supplier lead times, supplier risk scores, and backup supplier options."
"Supplier Delay Risk","Supplier 22","Supplier Delay Rate %",12.69,"Medium",2,"Review supplier lead times, supplier risk scores, and backup supplier options."
"Supplier Delay Risk","Supplier 21","Supplier Delay Rate %",12.29,"Medium",2,"Review supplier lead times, supplier risk scores, and backup supplier options."
"Supplier Delay Risk","Supplier 4","Supplier Delay Rate %",12.25,"Medium",2,"Review supplier lead times, supplier risk scores, and backup supplier options."
"Supplier Delay Risk","Supplier 7","Supplier Delay Rate %",12.20,"Medium",2,"Review supplier lead times, supplier risk scores, and backup supplier options."
"Supplier Delay Risk","Supplier 10","Supplier Delay Rate %",12.00,"Medium",2,"Review supplier lead times, supplier risk scores, and backup supplier options."
"Warehouse Delay Risk","Chicago Fulfillment Center","Late Shipment Rate %",11.78,"Medium",2,"Review warehouse operations, labor capacity, and fulfillment bottlenecks."
"Supplier Delay Risk","Supplier 6","Supplier Delay Rate %",11.65,"Medium",2,"Review supplier lead times, supplier risk scores, and backup supplier options."
"Supplier Delay Risk","Supplier 16","Supplier Delay Rate %",11.62,"Medium",2,"Review supplier lead times, supplier risk scores, and backup supplier options."
"Warehouse Delay Risk","Atlanta Operations Center","Late Shipment Rate %",11.53,"Medium",2,"Review warehouse operations, labor capacity, and fulfillment bottlenecks."
"Warehouse Delay Risk","Phoenix Fulfillment Center","Late Shipment Rate %",11.52,"Medium",2,"Review warehouse operations, labor capacity, and fulfillment bottlenecks."
"Supplier Delay Risk","Supplier 24","Supplier Delay Rate %",10.84,"Medium",2,"Review supplier lead times, supplier risk scores, and backup supplier options."
