issue_type,business_area,metric_name,metric_value,severity,severity_rank,business_issue_summary,root_cause_hypothesis,business_requirement,jira_epic,jira_user_story,acceptance_criteria,executive_recommendation,human_review_required
Product Stockout Risk,Grocery,Stockout Rate %,31.93,High,1,Grocery shows a high priority product stockout risk with a Stockout Rate % of 31.93%. This indicates an operational area that may require further business review.,"The issue may be caused by inaccurate demand planning, reorder points set too low, supplier replenishment delays, or warehouse-level inventory planning gaps.",The business needs a monitoring process that identifies product categories with elevated stockout risk and flags them for replenishment review.,Improve Grocery Inventory Availability,"As a supply chain operations manager, I want to identify Grocery products with high stockout risk so that I can improve replenishment planning and reduce missed sales opportunities.","Stockout rate must be calculated by product category. | Categories above 20% stockout rate must be flagged as high severity. | The output must include metric value, severity, and recommended analyst action. | High-risk categories must require human review before business action.","Prioritize a review of inventory planning, reorder point logic, and replenishment timing for Grocery to reduce stockout exposure.",True
Product Stockout Risk,Electronics,Stockout Rate %,31.76,High,1,Electronics shows a high priority product stockout risk with a Stockout Rate % of 31.76%. This indicates an operational area that may require further business review.,"The issue may be caused by inaccurate demand planning, reorder points set too low, supplier replenishment delays, or warehouse-level inventory planning gaps.",The business needs a monitoring process that identifies product categories with elevated stockout risk and flags them for replenishment review.,Improve Electronics Inventory Availability,"As a supply chain operations manager, I want to identify Electronics products with high stockout risk so that I can improve replenishment planning and reduce missed sales opportunities.","Stockout rate must be calculated by product category. | Categories above 20% stockout rate must be flagged as high severity. | The output must include metric value, severity, and recommended analyst action. | High-risk categories must require human review before business action.","Prioritize a review of inventory planning, reorder point logic, and replenishment timing for Electronics to reduce stockout exposure.",True
Product Stockout Risk,Health & Personal Care,Stockout Rate %,31.71,High,1,Health & Personal Care shows a high priority product stockout risk with a Stockout Rate % of 31.71%. This indicates an operational area that may require further business review.,"The issue may be caused by inaccurate demand planning, reorder points set too low, supplier replenishment delays, or warehouse-level inventory planning gaps.",The business needs a monitoring process that identifies product categories with elevated stockout risk and flags them for replenishment review.,Improve Health & Personal Care Inventory Availability,"As a supply chain operations manager, I want to identify Health & Personal Care products with high stockout risk so that I can improve replenishment planning and reduce missed sales opportunities.","Stockout rate must be calculated by product category. | Categories above 20% stockout rate must be flagged as high severity. | The output must include metric value, severity, and recommended analyst action. | High-risk categories must require human review before business action.","Prioritize a review of inventory planning, reorder point logic, and replenishment timing for Health & Personal Care to reduce stockout exposure.",True
Product Stockout Risk,Office Supplies,Stockout Rate %,31.69,High,1,Office Supplies shows a high priority product stockout risk with a Stockout Rate % of 31.69%. This indicates an operational area that may require further business review.,"The issue may be caused by inaccurate demand planning, reorder points set too low, supplier replenishment delays, or warehouse-level inventory planning gaps.",The business needs a monitoring process that identifies product categories with elevated stockout risk and flags them for replenishment review.,Improve Office Supplies Inventory Availability,"As a supply chain operations manager, I want to identify Office Supplies products with high stockout risk so that I can improve replenishment planning and reduce missed sales opportunities.","Stockout rate must be calculated by product category. | Categories above 20% stockout rate must be flagged as high severity. | The output must include metric value, severity, and recommended analyst action. | High-risk categories must require human review before business action.","Prioritize a review of inventory planning, reorder point logic, and replenishment timing for Office Supplies to reduce stockout exposure.",True
Product Stockout Risk,Apparel,Stockout Rate %,31.53,High,1,Apparel shows a high priority product stockout risk with a Stockout Rate % of 31.53%. This indicates an operational area that may require further business review.,"The issue may be caused by inaccurate demand planning, reorder points set too low, supplier replenishment delays, or warehouse-level inventory planning gaps.",The business needs a monitoring process that identifies product categories with elevated stockout risk and flags them for replenishment review.,Improve Apparel Inventory Availability,"As a supply chain operations manager, I want to identify Apparel products with high stockout risk so that I can improve replenishment planning and reduce missed sales opportunities.","Stockout rate must be calculated by product category. | Categories above 20% stockout rate must be flagged as high severity. | The output must include metric value, severity, and recommended analyst action. | High-risk categories must require human review before business action.","Prioritize a review of inventory planning, reorder point logic, and replenishment timing for Apparel to reduce stockout exposure.",True
Product Stockout Risk,Home Goods,Stockout Rate %,31.19,High,1,Home Goods shows a high priority product stockout risk with a Stockout Rate % of 31.19%. This indicates an operational area that may require further business review.,"The issue may be caused by inaccurate demand planning, reorder points set too low, supplier replenishment delays, or warehouse-level inventory planning gaps.",The business needs a monitoring process that identifies product categories with elevated stockout risk and flags them for replenishment review.,Improve Home Goods Inventory Availability,"As a supply chain operations manager, I want to identify Home Goods products with high stockout risk so that I can improve replenishment planning and reduce missed sales opportunities.","Stockout rate must be calculated by product category. | Categories above 20% stockout rate must be flagged as high severity. | The output must include metric value, severity, and recommended analyst action. | High-risk categories must require human review before business action.","Prioritize a review of inventory planning, reorder point logic, and replenishment timing for Home Goods to reduce stockout exposure.",True
Warehouse Delay Risk,Los Angeles Fulfillment Center,Late Shipment Rate %,17.13,Medium,2,Los Angeles Fulfillment Center shows a medium priority warehouse delay risk with a Late Shipment Rate % of 17.13%. This indicates an operational area that may require further business review.,"The issue may be caused by warehouse labor constraints, fulfillment bottlenecks, inventory availability gaps, order processing delays, or carrier coordination issues.",The business needs a warehouse performance monitoring process that identifies locations with elevated late shipment rates and flags them for operational review.,Reduce Late Shipments at Los Angeles Fulfillment Center,"As a warehouse operations manager, I want to monitor late shipment performance at Los Angeles Fulfillment Center so that I can identify fulfillment bottlenecks and improve delivery reliability.","Late shipment rate must be calculated by warehouse. | Warehouses above 10% late shipment rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Warehouse delay recommendations must require human review before business action.","Review warehouse operations, labor capacity, and fulfillment bottlenecks at Los Angeles Fulfillment Center to reduce late shipment risk.",True
Warehouse Delay Risk,Columbus Distribution Hub,Late Shipment Rate %,16.64,Medium,2,Columbus Distribution Hub shows a medium priority warehouse delay risk with a Late Shipment Rate % of 16.64%. This indicates an operational area that may require further business review.,"The issue may be caused by warehouse labor constraints, fulfillment bottlenecks, inventory availability gaps, order processing delays, or carrier coordination issues.",The business needs a warehouse performance monitoring process that identifies locations with elevated late shipment rates and flags them for operational review.,Reduce Late Shipments at Columbus Distribution Hub,"As a warehouse operations manager, I want to monitor late shipment performance at Columbus Distribution Hub so that I can identify fulfillment bottlenecks and improve delivery reliability.","Late shipment rate must be calculated by warehouse. | Warehouses above 10% late shipment rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Warehouse delay recommendations must require human review before business action.","Review warehouse operations, labor capacity, and fulfillment bottlenecks at Columbus Distribution Hub to reduce late shipment risk.",True
Supplier Delay Risk,Supplier 17,Supplier Delay Rate %,15.6,Medium,2,Supplier 17 shows a medium priority supplier delay risk with a Supplier Delay Rate % of 15.6%. This indicates an operational area that may require further business review.,"The issue may be caused by supplier lead-time variability, inconsistent supplier fulfillment, limited backup supplier coverage, or demand pressure on specific product categories.",The business needs a supplier performance monitoring process that identifies suppliers with elevated delay rates and flags them for reliability review.,Improve Delivery Reliability for Supplier 17,"As a supplier performance manager, I want to track delay performance for Supplier 17 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.","Review lead-time reliability, supplier performance patterns, and backup supplier options for Supplier 17.",True
Warehouse Delay Risk,Dallas Distribution Hub,Late Shipment Rate %,15.32,Medium,2,Dallas Distribution Hub shows a medium priority warehouse delay risk with a Late Shipment Rate % of 15.32%. This indicates an operational area that may require further business review.,"The issue may be caused by warehouse labor constraints, fulfillment bottlenecks, inventory availability gaps, order processing delays, or carrier coordination issues.",The business needs a warehouse performance monitoring process that identifies locations with elevated late shipment rates and flags them for operational review.,Reduce Late Shipments at Dallas Distribution Hub,"As a warehouse operations manager, I want to monitor late shipment performance at Dallas Distribution Hub so that I can identify fulfillment bottlenecks and improve delivery reliability.","Late shipment rate must be calculated by warehouse. | Warehouses above 10% late shipment rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Warehouse delay recommendations must require human review before business action.","Review warehouse operations, labor capacity, and fulfillment bottlenecks at Dallas Distribution Hub to reduce late shipment risk.",True
Supplier Delay Risk,Supplier 2,Supplier Delay Rate %,15.02,Medium,2,Supplier 2 shows a medium priority supplier delay risk with a Supplier Delay Rate % of 15.02%. This indicates an operational area that may require further business review.,"The issue may be caused by supplier lead-time variability, inconsistent supplier fulfillment, limited backup supplier coverage, or demand pressure on specific product categories.",The business needs a supplier performance monitoring process that identifies suppliers with elevated delay rates and flags them for reliability review.,Improve Delivery Reliability for Supplier 2,"As a supplier performance manager, I want to track delay performance for Supplier 2 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.","Review lead-time reliability, supplier performance patterns, and backup supplier options for Supplier 2.",True
Warehouse Delay Risk,Seattle Distribution Hub,Late Shipment Rate %,14.98,Medium,2,Seattle Distribution Hub shows a medium priority warehouse delay risk with a Late Shipment Rate % of 14.98%. This indicates an operational area that may require further business review.,"The issue may be caused by warehouse labor constraints, fulfillment bottlenecks, inventory availability gaps, order processing delays, or carrier coordination issues.",The business needs a warehouse performance monitoring process that identifies locations with elevated late shipment rates and flags them for operational review.,Reduce Late Shipments at Seattle Distribution Hub,"As a warehouse operations manager, I want to monitor late shipment performance at Seattle Distribution Hub so that I can identify fulfillment bottlenecks and improve delivery reliability.","Late shipment rate must be calculated by warehouse. | Warehouses above 10% late shipment rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Warehouse delay recommendations must require human review before business action.","Review warehouse operations, labor capacity, and fulfillment bottlenecks at Seattle Distribution Hub to reduce late shipment risk.",True
Supplier Delay Risk,Supplier 9,Supplier Delay Rate %,14.75,Medium,2,Supplier 9 shows a medium priority supplier delay risk with a Supplier Delay Rate % of 14.75%. This indicates an operational area that may require further business review.,"The issue may be caused by supplier lead-time variability, inconsistent supplier fulfillment, limited backup supplier coverage, or demand pressure on specific product categories.",The business needs a supplier performance monitoring process that identifies suppliers with elevated delay rates and flags them for reliability review.,Improve Delivery Reliability for Supplier 9,"As a supplier performance manager, I want to track delay performance for Supplier 9 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.","Review lead-time reliability, supplier performance patterns, and backup supplier options for Supplier 9.",True
Supplier Delay Risk,Supplier 20,Supplier Delay Rate %,14.31,Medium,2,Supplier 20 shows a medium priority supplier delay risk with a Supplier Delay Rate % of 14.31%. This indicates an operational area that may require further business review.,"The issue may be caused by supplier lead-time variability, inconsistent supplier fulfillment, limited backup supplier coverage, or demand pressure on specific product categories.",The business needs a supplier performance monitoring process that identifies suppliers with elevated delay rates and flags them for reliability review.,Improve Delivery Reliability for Supplier 20,"As a supplier performance manager, I want to track delay performance for Supplier 20 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.","Review lead-time reliability, supplier performance patterns, and backup supplier options for Supplier 20.",True
Supplier Delay Risk,Supplier 14,Supplier Delay Rate %,14.17,Medium,2,Supplier 14 shows a medium priority supplier delay risk with a Supplier Delay Rate % of 14.17%. This indicates an operational area that may require further business review.,"The issue may be caused by supplier lead-time variability, inconsistent supplier fulfillment, limited backup supplier coverage, or demand pressure on specific product categories.",The business needs a supplier performance monitoring process that identifies suppliers with elevated delay rates and flags them for reliability review.,Improve Delivery Reliability for Supplier 14,"As a supplier performance manager, I want to track delay performance for Supplier 14 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.","Review lead-time reliability, supplier performance patterns, and backup supplier options for Supplier 14.",True
Supplier Delay Risk,Supplier 11,Supplier Delay Rate %,14.07,Medium,2,Supplier 11 shows a medium priority supplier delay risk with a Supplier Delay Rate % of 14.07%. This indicates an operational area that may require further business review.,"The issue may be caused by supplier lead-time variability, inconsistent supplier fulfillment, limited backup supplier coverage, or demand pressure on specific product categories.",The business needs a supplier performance monitoring process that identifies suppliers with elevated delay rates and flags them for reliability review.,Improve Delivery Reliability for Supplier 11,"As a supplier performance manager, I want to track delay performance for Supplier 11 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.","Review lead-time reliability, supplier performance patterns, and backup supplier options for Supplier 11.",True
Supplier Delay Risk,Supplier 5,Supplier Delay Rate %,14.02,Medium,2,Supplier 5 shows a medium priority supplier delay risk with a Supplier Delay Rate % of 14.02%. This indicates an operational area that may require further business review.,"The issue may be caused by supplier lead-time variability, inconsistent supplier fulfillment, limited backup supplier coverage, or demand pressure on specific product categories.",The business needs a supplier performance monitoring process that identifies suppliers with elevated delay rates and flags them for reliability review.,Improve Delivery Reliability for Supplier 5,"As a supplier performance manager, I want to track delay performance for Supplier 5 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.","Review lead-time reliability, supplier performance patterns, and backup supplier options for Supplier 5.",True
Supplier Delay Risk,Supplier 25,Supplier Delay Rate %,13.84,Medium,2,Supplier 25 shows a medium priority supplier delay risk with a Supplier Delay Rate % of 13.84%. This indicates an operational area that may require further business review.,"The issue may be caused by supplier lead-time variability, inconsistent supplier fulfillment, limited backup supplier coverage, or demand pressure on specific product categories.",The business needs a supplier performance monitoring process that identifies suppliers with elevated delay rates and flags them for reliability review.,Improve Delivery Reliability for Supplier 25,"As a supplier performance manager, I want to track delay performance for Supplier 25 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.","Review lead-time reliability, supplier performance patterns, and backup supplier options for Supplier 25.",True
Warehouse Delay Risk,Denver Operations Center,Late Shipment Rate %,13.53,Medium,2,Denver Operations Center shows a medium priority warehouse delay risk with a Late Shipment Rate % of 13.53%. This indicates an operational area that may require further business review.,"The issue may be caused by warehouse labor constraints, fulfillment bottlenecks, inventory availability gaps, order processing delays, or carrier coordination issues.",The business needs a warehouse performance monitoring process that identifies locations with elevated late shipment rates and flags them for operational review.,Reduce Late Shipments at Denver Operations Center,"As a warehouse operations manager, I want to monitor late shipment performance at Denver Operations Center so that I can identify fulfillment bottlenecks and improve delivery reliability.","Late shipment rate must be calculated by warehouse. | Warehouses above 10% late shipment rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Warehouse delay recommendations must require human review before business action.","Review warehouse operations, labor capacity, and fulfillment bottlenecks at Denver Operations Center to reduce late shipment risk.",True
Supplier Delay Risk,Supplier 8,Supplier Delay Rate %,13.47,Medium,2,Supplier 8 shows a medium priority supplier delay risk with a Supplier Delay Rate % of 13.47%. This indicates an operational area that may require further business review.,"The issue may be caused by supplier lead-time variability, inconsistent supplier fulfillment, limited backup supplier coverage, or demand pressure on specific product categories.",The business needs a supplier performance monitoring process that identifies suppliers with elevated delay rates and flags them for reliability review.,Improve Delivery Reliability for Supplier 8,"As a supplier performance manager, I want to track delay performance for Supplier 8 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.","Review lead-time reliability, supplier performance patterns, and backup supplier options for Supplier 8.",True
Supplier Delay Risk,Supplier 23,Supplier Delay Rate %,13.31,Medium,2,Supplier 23 shows a medium priority supplier delay risk with a Supplier Delay Rate % of 13.31%. This indicates an operational area that may require further business review.,"The issue may be caused by supplier lead-time variability, inconsistent supplier fulfillment, limited backup supplier coverage, or demand pressure on specific product categories.",The business needs a supplier performance monitoring process that identifies suppliers with elevated delay rates and flags them for reliability review.,Improve Delivery Reliability for Supplier 23,"As a supplier performance manager, I want to track delay performance for Supplier 23 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.","Review lead-time reliability, supplier performance patterns, and backup supplier options for Supplier 23.",True
